Team,PreSeason_Prob,InSeason_Prob_Norm,PreSeason_Pct,InSeason_Pct,Diff_Pct,Empirical_Prob
Arsenal,0.5259127,0.5259127,52.59127,52.59127,0.0,0.8305
Manchester City,0.14452252,0.14452252,14.452251,14.452251,0.0,0.1616
Chelsea,0.057092037,0.057092037,5.7092037,5.7092037,0.0,0.0077
Fulham,0.025699532,0.025699532,2.5699532,2.5699532,0.0,0.0001
Sunderland,0.025539983,0.025539983,2.5539982,2.5539982,0.0,0.0001
Liverpool,0.022359755,0.022359755,2.2359755,2.2359755,0.0,0.0
Aston Villa,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Manchester United,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Crystal Palace,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Brighton,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Everton,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Newcastle United,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Leeds,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Nottingham Forest,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Brentford,0.015784329,0.015784329,1.5784329,1.5784329,0.0,0.0
Bournemouth,0.01371984,0.01371984,1.371984,1.371984,0.0,0.0
Tottenham,0.01371984,0.01371984,1.371984,1.371984,0.0,0.0
Burnley,0.009791591,0.009791591,0.9791591,0.9791591,0.0,0.0
West Ham,0.009791591,0.009791591,0.9791591,0.9791591,0.0,0.0
Wolverhampton Wanderers,0.009791591,0.009791591,0.9791591,0.9791591,0.0,0.0
